Division,District/City,Total No of Cases
Dhaka,Dhaka (District),41950
Dhaka,Gazipur,3960
Dhaka,Kishoreganj,1767
Dhaka,Madaripur,1039
Dhaka,Manikganj,716
Dhaka,Narayanganj,5698
Dhaka,Munshigonj,2503
Dhaka,Narshingdi,1664
Dhaka,Rajbari,814
Dhaka,Faridpur,3593
Dhaka,Tangail,1042
Dhaka,Shariatpur,843
Dhaka,Gopalganj,1158
Chattogram,Chattogram,11931
Chattogram,Cox's bazar,3019
Chattogram,Cumilla,4167
Chattogram,Brahmanbaria,1509
Chattogram,Khagrachari,237
Chattogram,Laksmipur,1185
Chattogram,Bandarban,328
Chattogram,Rangamati,469
Chattogram,Noakhali,2697
Chattogram,Feni,1029
Chattogram,Chandpur,1422
Sylhet,Sylhet,3323
Sylhet,Moulovi Bazar,657
Sylhet,Sunamganj,1170
Sylhet,Hobiganj,899
Rangpur,Rangpur,983
Rangpur,Gaibandha,288
Rangpur,Nilphamari,353
Rangpur,Lalmonirhat,126
Rangpur,Kurigram,149
Rangpur,Dinajpur,675
Rangpur,Panchagar,146
Rangpur,Thakurgaon,206
Khulna,Khulna,3300
Khulna,Jessore,1156
Khulna,Bagerhat,358
Khulna,Narail,435
Khulna,Magura,260
Khulna,Meherpur,112
Khulna,Satkhira,432
Khulna,Jhenaidah,535
Khulna,Kushtia,1051
Khulna,Chuadanga,323
Mymensingh,Mymensingh,2052
Mymensingh,Jamalpur,740
Mymensingh,Netrokona,551
Mymensingh,Sherpur,267
Barishal,Barguna,438
Barishal,Bhola,422
Barishal,Barishal,1686
Barishal,Patuakhali,774
Barishal,Pirojpur,218
Barishal,Jhalokathi,242
Rajshahi,Joypurhat,598
Rajshahi,Pabna,627
Rajshahi,Nawabganj,227
Rajshahi,Bogura,3923
Rajshahi,Natore,306
Rajshahi,Naogaon,737
Rajshahi,Sirajganj,952
Rajshahi,Rajshahi,1921
