Division,District/City,Total No of Cases
Dhaka,Dhaka (District),52110
Dhaka,Gazipur,4039
Dhaka,Kishoreganj,1879
Dhaka,Madaripur,1039
Dhaka,Manikganj,840
Dhaka,Narayanganj,5795
Dhaka,Munshigonj,2503
Dhaka,Narshingdi,1790
Dhaka,Rajbari,814
Dhaka,Faridpur,3593
Dhaka,Tangail,1271
Dhaka,Shariatpur,843
Dhaka,Gopalganj,1158
Chattogram,Chattogram,12927
Chattogram,Cox's bazar,3112
Chattogram,Cumilla,4167
Chattogram,Brahmanbaria,1509
Chattogram,Khagrachari,414
Chattogram,Laksmipur,1256
Chattogram,Bandarban,507
Chattogram,Rangamati,511
Chattogram,Noakhali,2839
Chattogram,Feni,1029
Chattogram,Chandpur,1570
Sylhet,Moulovi Bazar,839
Sylhet,Sunamganj,1278
Sylhet,Hobiganj,1055
Sylhet,Sylhet,3787
Rangpur,Rangpur,983
Rangpur,Gaibandha,288
Rangpur,Nilphamari,353
Rangpur,Lalmonirhat,126
Rangpur,Kurigram,149
Rangpur,Dinajpur,675
Rangpur,Panchagar,146
Rangpur,Thakurgaon,206
Khulna,Khulna,3737
Khulna,Jessore,1426
Khulna,Bagerhat,433
Khulna,Narail,524
Khulna,Magura,334
Khulna,Meherpur,137
Khulna,Satkhira,547
Khulna,Jhenaidah,664
Khulna,Kushtia,1235
Khulna,Chuadanga,446
Mymensingh,Mymensingh,2052
Mymensingh,Jamalpur,768
Mymensingh,Netrokona,600
Mymensingh,Sherpur,267
Barishal,Barguna,511
Barishal,Bhola,471
Barishal,Barishal,1686
Barishal,Patuakhali,893
Barishal,Pirojpur,218
Barishal,Jhalokathi,242
Rajshahi,Joypurhat,724
Rajshahi,Pabna,318
Rajshahi,Nawabganj,4311
Rajshahi,Bogura,387
Rajshahi,Natore,844
Rajshahi,Naogaon,1180
Rajshahi,Sirajganj,2429
Rajshahi,Rajshahi,471
